Date,DateStr,MappedEventLabel,Cluster,ClusterLabel,DC_relevance,DC_COPPER_relevance,SOLVPN_to_COPPER,COPPER_to_SOLVPN,DC_Event_Type
2022-06-13,2022-06-13,미국 CPI 충격 직후 인플레이션과 긴축 우려,2,Minor / Local,0.36767202410307703,0.0525692607327557,0.4528175608335107,0.019133861881523856,DC-focused
2022-07-28,2022-07-28,Recession fear,2,Minor / Local,0.4134578169985564,0.06712174849512628,0.5816932575732382,0.019240834197323888,DC-focused
2022-09-13,2022-09-13,미국 CPI 쇼크 (인플레이션 재상승),1,Delayed Response,0.40294922486373175,0.07193250961630865,0.6293700864984608,0.004667585941879421,DC-focused
2022-11-10,2022-11-10,미국 CPI가 예상보다 낮게 나오며 Fed 속도조절 기대,2,Minor / Local,0.43121870610974417,0.06949874233484171,0.6173146382231252,0.004577900050496677,DC-focused
2022-11-17,2022-11-17,달러 반등과 Fed의 추가 긴축 발언으로 금이 후퇴,1,Delayed Response,0.40964106674841166,0.0662726823634225,0.5898831694705913,0.003087780783135035,DC-focused
2022-12-15,2022-12-15,Fed 금리 경로 경계 속에서도 중국 리오프닝 기대,1,Delayed Response,0.40225530991321656,0.06290435470111579,0.5607616282600741,0.0009969454557716099,DC-focused
2022-12-20,2022-12-20,중국 리오프닝 기대,2,Minor / Local,0.39009888067525905,0.060249551083176,0.5366098227019601,0.0006069489241812054,DC-focused
2023-01-03,2023-01-03,중국 리오프닝과 달러 약세 기대,2,Minor / Local,0.371177689977496,0.05543776807458644,0.48344304747242384,0.01268452423342469,DC-focused
2023-10-16,2023-10-16,Geopolitical safe-haven bid,2,Minor / Local,0.41288507721473194,0.06442305868154924,0.5754132348005694,0.0007629684487451871,DC-focused
2025-07-08,2025-07-08,트럼프의 구리 50% 관세 방침 발표,3,Structural Persistent,0.3411082716033264,0.05572413726252557,0.46821223495135794,0.026415385971093025,DC-focused
